IMO.Number,predicted.kg.CO2.per.nm,TEU.predicted.kg.CO2.per.nm
2186884,363.0494813,NA
2272334,372.4399363,NA
2274722,373.6592472,NA
2291081,114.8438959,NA
2611360,117.1540932,NA
2629551,117.2120448,NA
2635079,373.9688027,NA
2639635,131.0374883,NA
2642254,142.8858452,NA
2643583,399.0361708,NA
2643595,143.7331646,NA
2644288,136.7361117,NA
2644305,145.4087918,NA
2762298,147.6659041,NA
2866226,147.3142946,NA
2948751,349.9838042,NA
4500084,360.312758,NA
4500096,116.4793056,NA
4500292,272.1672186,NA
4505412,374.9323338,NA
4512843,363.8040441,NA
4512855,379.7629153,NA
4512867,364.4984523,NA
4512879,369.8369341,NA
4512881,376.8860253,NA
4512893,366.1627162,NA
4512908,369.1482545,NA
4512910,380.3807421,NA
4512934,372.2437831,NA
4512946,369.2582448,NA
4512958,380.3807421,NA
4512960,365.6335239,NA
4512972,369.9628865,NA
4515819,377.5557691,NA
4515821,377.5557691,NA
4518433,370.556889,NA
4518445,371.3439975,NA
4518457,371.3439975,NA
4537063,361.9535424,NA
4538548,327.5566071,NA
4542317,472.774147,NA
4542642,334.5355115,NA
4544028,378.3392459,NA
4544092,358.6861806,NA
4544107,412.1391849,NA
4544119,350.7041502,NA
4546844,509.9897987,NA
4546856,505.9751261,NA
4549133,120.1640483,NA
4549731,291.2566491,NA
4549743,282.9979111,NA
4549755,330.7278922,NA
4549767,321.1198041,NA
4549779,324.2390795,NA
4550194,454.4883582,NA
4550209,420.0109627,NA
4550211,456.8975879,NA
4550223,363.6799635,NA
4550235,439.0317891,NA
4550247,484.0315597,NA
4558938,281.7550936,NA
4589547,249.7861875,NA
4589559,247.2451073,NA
4589561,382.6397415,NA
4589573,259.2973588,NA
4589585,390.6851248,NA
4589731,374.0840696,NA
4603408,138.0500464,NA
4607208,382.1984582,NA
4611766,373.0622813,NA
4611778,373.6109807,NA
4611780,372.6762517,NA
4612069,372.6762517,NA
4612502,328.8649686,NA
4612514,328.8649686,NA
4613544,322.6267628,NA
4613556,322.6267628,NA
4613568,322.6267628,NA
4613570,334.6809426,NA
4613623,324.2515947,NA
4617784,381.9900359,NA
4617796,376.1258552,NA
4644799,350.7006113,NA
4644804,343.3741749,NA
4644816,342.5463222,NA
4644828,335.3505306,NA
4644830,334.5031543,NA
4644878,377.5557691,NA
4645200,272.9647471,NA
4645212,278.3720675,NA
4645224,400.6608276,NA
4665925,276.4590474,NA
4666371,258.2350137,NA
4666383,376.8458177,NA
4666395,259.2586444,NA
4666400,384.3128602,NA
4666412,388.7218607,NA
4666424,262.1608453,NA
4666436,260.2003882,NA
4666448,257.8065735,NA
4666450,388.7218607,NA
4666462,372.8728638,NA
4695542,365.4260911,NA
4695554,373.3077442,NA
4695566,383.2095631,NA
4695578,409.0407686,NA
4695657,379.9743845,NA
4695669,372.0463203,NA
4698453,344.3643731,NA
4698465,344.3643731,NA
4698477,344.3643731,NA
4698489,344.3643731,NA
4698491,344.3643731,NA
4698506,344.3643731,NA
4698518,344.3643731,NA
4698520,344.3643731,NA
4698532,347.5290378,NA
4698544,347.5290378,NA
4701949,450.4552216,NA
4701951,470.0266789,NA
4709989,413.2198641,NA
4709991,461.2856657,NA
4710005,494.7956376,NA
4710017,568.1568159,NA
4710029,544.6069939,NA
4710031,622.8376942,NA
4724587,408.1268956,NA
4724599,421.2593088,NA
4726377,334.6809426,NA
4726389,334.6809426,NA
4726391,534.8644059,NA
4726406,534.8644059,NA
4726418,343.2390859,NA
